"SP_1","SP_2","SP_3","SP_4","SP_5","SP_6","SP_7","SP_8","fitness"
0,0,0,1,0,1,0,0,0.0948
0,0,0,1,0,1,0,0,0.11365
0,0,0,1,0,1,1,0,0.1602
0,0,0,1,0,1,1,0,0.2598
0,0,0,1,0,1,1,0,0.2985
0,0,0,1,0,1,1,1,0.2658
0,0,0,1,0,1,1,1,0.29435
0,0,0,1,0,1,0,1,0.0869
0,0,0,1,0,1,0,1,0.16455
0,0,0,1,0,1,0,1,0.1551
0,0,0,1,0,0,1,0,0.28765
0,0,0,1,0,0,1,0,0.38585
0,0,0,1,0,0,1,0,0.419
0,0,0,1,0,0,1,1,0.32465
0,0,0,1,0,0,1,1,0.40225
0,0,0,1,0,0,1,1,0.34785
0,0,0,1,0,0,0,1,0.2663
0,0,0,1,0,0,0,1,0.31865
0,0,0,1,0,0,0,1,0.32735
0,0,0,0,1,0,0,0,0.163848484848485
0,0,0,0,1,0,0,0,0.268411111111111
0,0,0,0,1,0,0,0,0.227661111111111
0,0,0,0,1,1,0,0,0.0715
0,0,0,0,1,1,0,0,0.1568
0,0,0,0,1,1,0,0,0.13085
0,0,0,0,1,1,1,0,0.1208
0,0,0,0,1,1,1,0,0.202
0,0,0,0,1,1,1,0,0.23945
0,0,0,0,1,1,1,1,0.1456
0,0,0,0,1,1,1,1,0.2683
0,0,0,0,1,1,1,1,0.29815
0,0,0,0,1,1,0,1,0.0788
0,0,0,0,1,1,0,1,0.1392
0,0,0,0,1,1,0,1,0.13645
0,0,0,0,1,0,1,0,0.310825
0,0,0,0,1,0,1,0,0.377
0,0,0,0,1,0,1,0,0.38785
0,0,0,0,1,0,1,1,0.281875
0,0,0,0,1,0,1,1,0.392525
0,0,0,0,1,0,1,1,0.33265
0,0,0,0,1,0,0,1,0.1656
0,0,0,0,1,0,0,1,0.267933333333333
0,0,0,0,1,0,0,1,0.217916666666667
0,0,0,0,0,1,0,0,0.010734375
0,0,0,0,0,1,0,0,0.00175
0,0,0,0,0,1,0,0,0.0021125
0,0,0,0,0,1,1,0,0.222166666666667
0,0,0,0,0,1,1,0,0.299966666666667
0,0,0,0,0,1,1,0,0.31455
